Papel,Cotação,P/L,P/VP,PSR,Div.Yield%,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA%,Mrg Ebit%,Mrg. Líq.,Liq. Corr.,ROIC%,ROE%,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a%
BGIP4,22.5,4.32,0.64,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,11732.2,535142000.0,0.0,4.08
CPLE3,5.59,4.35,0.76,0.756,24.59,0.323,50.24,3.77,-0.91,5.78,4.68,20.09,17.82,1.03,9.29,17.45,18273500.0,20171700000.0,0.48,11.65
TRPL4,24.9,4.37,1.13,3.73,11.82,0.582,7.56,3.78,-1.72,4.98,4.95,98.67,85.6,2.38,16.12,25.8,32035100.0,14543000000.0,0.44,15.75
DEXP4,7.01,4.37,1.7,0.496,0.0,0.6,2.71,4.78,-11.73,5.87,4.95,10.39,13.39,1.73,14.11,38.83,116161.0,388107000.0,0.52,29.18
BRKM3,51.5,4.39,4.74,0.49,0.0,0.467,5.13,1.93,-0.98,2.9,2.44,25.35,11.35,1.26,33.38,107.98,356643.0,8660000000.0,3.94,11.37
EPAR3,11.94,4.46,3.27,0.26,0.0,0.858,5.33,4.78,-6.17,4.84,3.7,5.44,5.83,1.37,24.99,73.21,56223.4,54310000.0,0.72,43.17
LUXM3,10.0,4.48,0.54,0.463,0.0,0.343,3.12,3.17,-2.89,3.11,1.63,14.61,10.35,1.81,12.98,12.05,0.0,96314000.0,0.22,2.63
PLPL3,3.34,4.53,2.36,0.593,5.86,0.596,0.73,2.0,2.94,2.29,2.13,29.63,13.08,6.95,41.15,52.04,4555990.0,289145000.0,1.19,0.0
FRAS4,5.79,4.56,1.24,0.55,0.0,0.453,1.85,3.97,-3.2,5.68,4.26,13.87,11.98,2.0,14.29,27.09,0.0,1019440000.0,0.81,27.85
NEOE3,16.17,4.58,0.82,0.471,3.25,0.242,-12.35,2.42,-0.51,6.08,4.92,19.45,10.63,0.92,11.44,17.96,39836200.0,23854000000.0,1.43,19.75
BRKM5,54.12,4.61,4.98,0.515,0.0,0.491,5.4,2.03,-1.03,3.0,2.53,25.35,11.35,1.26,33.38,107.98,190105000.0,8660000000.0,3.94,11.37
ALLD3,17.35,4.64,1.1,0.283,2.63,0.41,1.73,4.11,4.67,4.7,4.04,6.88,6.1,1.5,18.38,23.64,10093300.0,1474960000.0,0.27,0.0
CPLE11,29.84,4.64,0.81,0.808,0.0,0.345,53.63,4.02,-0.98,6.03,4.88,20.09,17.82,1.03,9.29,17.45,18819000.0,20171700000.0,0.48,11.65
VCPA4,26.01,4.72,1.02,0.789,0.0,0.353,3.76,2.01,-1.0,4.05,2.99,39.18,16.75,1.46,22.95,21.57,0.0,14149000000.0,1.46,22.71
EUCA3,15.0,4.72,0.81,0.648,2.48,0.462,4.94,3.78,-6.1,4.77,3.35,17.16,14.5,1.36,13.53,17.23,151531.0,1707490000.0,0.27,15.5
CPLE6,6.09,4.73,0.83,0.824,24.83,0.352,54.73,4.1,-1.0,6.11,4.95,20.09,17.82,1.03,9.29,17.45,110516000.0,20171700000.0,0.48,11.65
TAEE11,37.54,4.76,2.03,3.292,12.0,0.852,11.42,4.43,-1.97,6.51,6.47,74.37,69.11,2.01,20.29,42.56,95486900.0,6378770000.0,1.07,36.6
TAEE4,12.53,4.77,2.03,3.297,11.98,0.853,11.44,4.43,-1.98,6.52,6.47,74.37,69.11,2.01,20.29,42.56,2301020.0,6378770000.0,1.07,36.6
CESP5,30.5,4.78,1.33,4.636,8.51,0.687,34.59,8.43,-1.67,9.73,7.24,54.97,96.93,1.37,8.49,27.9,543.73,7485270000.0,0.26,10.03
CEPE6,28.01,4.84,1.11,0.245,11.64,0.171,-4.48,1.95,-0.3,6.97,5.31,12.56,5.06,0.88,9.93,22.87,140.03,1890000000.0,3.02,-2.64
TAEE3,12.72,4.84,2.06,3.347,11.81,0.866,11.61,4.5,-2.01,6.58,6.54,74.37,69.11,2.01,20.29,42.56,945670.0,6378770000.0,1.07,36.6
ENGI4,6.72,4.88,1.49,0.537,5.21,0.254,5.11,3.12,-0.46,6.93,5.26,17.21,12.05,1.25,9.38,30.52,183403.0,8190540000.0,2.32,15.74
EALT4,6.41,4.89,0.74,0.426,4.78,0.3,3.99,4.19,-2.09,6.86,5.11,10.17,8.72,1.2,8.05,15.17,187989.0,194506000.0,0.61,19.01
CEPE5,28.85,4.98,1.14,0.252,10.27,0.176,-4.62,2.01,-0.31,7.02,5.36,12.56,5.06,0.88,9.93,22.87,2072.93,1890000000.0,3.02,-2.64
ENAT3,12.97,5.02,1.04,3.662,1.49,0.613,2.1,12.21,33.05,8.52,3.21,30.0,73.01,3.15,8.03,20.67,26121200.0,3325960000.0,0.3,26.65
CPFP4,44.0,5.07,5.22,0.453,0.0,0.357,-223.16,3.35,-0.51,5.81,4.96,13.53,8.94,0.99,12.69,103.01,0.0,447732000.0,4.68,20.27
RAPT3,12.65,5.07,1.92,0.6,5.13,0.477,1.55,4.36,-5.86,6.31,5.26,13.78,15.07,2.08,15.6,37.78,288077.0,2283580000.0,1.61,27.46
HBTS5,51.0,5.14,1.22,2.01,0.32,0.337,-2.51,3.42,-0.58,3.43,3.4,58.8,39.08,0.51,10.55,23.72,11083.8,381872000.0,0.21,33.36
POMO3,2.41,5.23,0.8,0.661,3.73,0.352,1.34,94.82,-9.09,143.37,27.43,0.7,12.44,2.05,0.49,15.36,873483.0,2843210000.0,0.83,3.75
BRSR6,11.48,5.25,0.54,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,23320900.0,8652150000.0,0.0,10.19
ROMI3,16.91,5.27,1.35,0.953,9.64,0.653,2.2,6.59,7.82,8.81,7.18,14.46,18.12,1.98,11.54,25.62,10625500.0,919233000.0,0.58,17.85
DEXP3,8.45,5.27,2.05,0.598,3.32,0.723,3.27,5.76,-14.14,6.85,5.77,10.39,13.39,1.73,14.11,38.83,6175250.0,388107000.0,0.52,29.18
BBAS3,29.34,5.29,0.62,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73,417714000.0,135444000000.0,0.0,0.79
TKNO4,62.25,5.29,0.87,0.733,3.35,0.6,1.66,4.78,1.89,5.1,4.54,15.34,13.85,2.34,15.28,16.48,605.13,210499000.0,0.12,18.01
CMIG4,13.32,5.31,1.14,0.814,6.51,0.419,4.22,4.41,-1.18,5.81,4.88,18.49,15.33,1.56,11.3,21.4,159250000.0,19841100000.0,0.67,8.2
ALUP3,8.16,5.33,1.13,1.049,3.43,0.298,4.25,1.59,-0.7,3.28,3.2,66.07,41.22,1.76,20.38,21.13,982189.0,6372350000.0,1.46,51.7
HAGA3,4.42,5.38,-0.78,1.205,0.0,0.841,2.21,11.4,-0.67,10.92,8.02,10.58,22.42,1.85,18.3,-14.48,60882.3,-67577600.0,-0.49,10.97
ALUP11,24.72,5.38,1.14,1.06,3.4,0.301,4.29,1.6,-0.71,3.3,3.21,66.07,41.22,1.76,20.38,21.13,22323100.0,6372350000.0,1.46,51.7
ALUP4,8.25,5.39,1.14,1.061,3.39,0.301,4.29,1.61,-0.71,3.3,3.21,66.07,41.22,1.76,20.38,21.13,1008170.0,6372350000.0,1.46,51.7
CEEB3,35.5,5.45,1.46,0.659,12.98,0.397,-14.93,3.35,-0.76,6.75,5.47,19.69,12.09,0.89,12.94,26.85,51391.8,6361000000.0,1.55,16.06
BMEB4,18.5,5.45,0.91,0.0,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,53654.2,1067480000.0,0.0,14.99
